书名,作者,介绍,更新时间
长生百万年，我被认证为大帝,墨水白的, 秦封身怀长生之命，可与世长存，但这也是枷锁，他永无法证道成帝。他担心自身长生秘密被那些无敌者发现，便隐藏身份在漫长岁月中探寻自己的无敌之路。他活过了一百多万载岁月，见过辉煌，经过黑暗，葬下过一个又一个璀璨时代，成为世间一个不为人知的禁忌生灵。然而这一世。一个神秘的宇宙网络降临世间，那里宛如一个真实浩瀚的大世界。即便当世有活着的大帝，凭其通天之能也无法撼动这个宇宙网络，不能洞悉其中一切秘密。秦封小睡千年，醒来后得知宇宙网络的事。他深感好奇，也进去看看情况。然而。他一进去，便引动宇宙网络世界万般异象，宛如古皇临世，大帝出行！他的名字立刻出现宇宙网络在线榜中，并直接登顶第一，身份认证竟然是……大帝！世人无不震惊！当世已有大帝，一世无二尊，岂能再出现一尊大帝？秦封的出现，引发很多事，牵出一些古老大秘，仿佛进行了一次上古小清算。但当一切平静下来。秦封依旧存在，并再次送走一位当世大帝。在接下来的岁月中和诸多网友一起见证时代沉浮，无人知晓他真身是谁，只知他一直都在！直到神话大劫再临！秦封长生之命的秘密以及宇宙网络的真相被揭开…… ,2025-03-10 00:00
星空职业者,文抄公, 星空历元年，人类进入星际时代，星际移民、宇宙飞船、外星眷族、域外邪神……接踵而至星空历717年，方星望着宇宙背景之下，密密麻麻的异族大军，表示什么异族大军、什么修仙者、什么触手、什么密教、什么邪神，都要被我无上的天赋震慑，以铁拳统统打爆啊口胡……好吧，这其实是一个穿越者，靠着职业者面板，在诸多异界为所欲为的故事…… ,2025-03-10 06:10
穿甲弹不相信碳基怪物,嘟嘟雪球来啦, 一场普普通通的拉练，让陈剑和他的小队进入了一个截然不同的时空。末世之下，怪物横行，残存的人类在恐怖的爪牙下艰难求生。为了对抗怪物，活着的人抛弃了一切。人性并不存在，兽性才是主流。想要战胜它们，就必须先成为它们。陈剑本应该跟这里的人一样，去追求令人疯狂的进化。但，当钨芯穿甲弹第一次击穿夔牛的角质装甲时，他突然发现......活着这件事情，或许有另一种解法？ ,2025-03-09 23:49
Z世代艺术家,起酥面包, 《从撞碎公知开始推平娱乐圈》出生于2005年的Z世代水军头子，重生在1998年。他对于这个时代没有任何滤镜，因此感到强烈窒息。影视剧粗糙的画质，辣眼的特效，破布般的服装，糊弄鬼一样的妆容，能凑合就凑合的拍摄理念……男男女女，导演制片，统统都是垃圾。少年公平的拷打一切，并且带着怒火揭竿而起。是时候给华娱一点来自于更高维度的震撼了！PS：只要我公正的黑每一个人，谁敢骂我是喷子？ ,2025-03-09 16:16
绝境黑夜,滚开, 外面全是怪物诡影，我好害怕。只想待在安全屋里，直到天荒地老.....————————杀不死的诡影，无穷尽的怪物，于宏带着神秘黑印来到这里，利用能强化一切的黑印，慢慢在自己的安全屋里，搭建出独属于自己的绝对安全区域。如大家所投，本书为诡异修仙极道融合风，老滚说到做到。 ,2025-03-09 16:59
龙藏,烟雨江南, 卫渊本无大志，但在时代洪流中不得不走上征战四方、开疆辟土之路，直至关山踏尽，未曾白头。不正经的简介一：仙人也怕工业化！这是一个发生在玄幻世界的工业革命的故事。 ,2025-03-09 22:00
我真没想下围棋啊！,山中土块, 围棋国手俞邵穿越到了平行世界，成为了一个高一学生，重活一世，他只想好好享受这一段放肆张扬的青春，别让青春再次从指缝溜走。但是……为什么我又拿起棋子了啊喂！虽然在这个还没有被AI严加拷打过的围棋界下棋，一不小心就镇压一个时代，确实有那么亿点点爽就是了。…………一众职业棋手：“围棋还能这么下？”俞邵点了点头：“围棋就是这么下的！”（不会下围棋也能看得懂，欢迎点进。） ,2025-03-09 23:39
普罗之主,沙拉古斯, 他叫李伴峰，山峰的峰，不是发疯的疯，医生说过他没有疯。为了救朋友一条命，他去了96号站台，上了1160蒸汽列车，来到了停留在蒸汽时代的普罗州。他遇到了老唱机里的红颜知己，月份牌里的绝世佳丽，老座钟里的摇摆名姝，酒葫芦里的世外高人。这里有越吃越猛的食修，越抽越强的烟修，越杀越狠的武修，越喝越狂的酒修。这里有哪都想去的旅修，还有哪都不想去的宅修。天下百门，谁与争锋。普罗万修，谁是魁首。伴峰穿上西装，戴上礼帽，拿上鸡毛掸子，认真问了一句：告诉我，谁是普罗之主？ ,2025-03-10 07:00
第五木叶村,半度透明, “忍族居然组织村民抗议？这已经不是一般的村民了，必须出重拳！”“革命的夜晚虽然短暂，但这份荣光会持续很久，这份荣光，我宇智波斗光不会独享。”木叶五十七年，宇智波斗光政变上台，成为木叶隐村第五代火影，自此太阳升起，驱散了笼罩木叶长达半个世纪的长夜。本书又名《木叶之春》《忍界唯一的太阳》《木叶：斗光真传》 ,2025-03-09 21:01
大乘期才有逆袭系统,最白的乌鸦, （新书《谁让他修仙的！》已发）江离穿越过来，发现没有金手指，只能老老实实的修炼，五百年后，他成为九州最强者，突然出现一个系统，说能帮宿主从练气期逆袭成为九州第一人。江离看着第一个任务，陷入沉思。“请宿主打败你的堂哥（练气六层）。”“你这系统延迟的挺严重啊。”【本书欢乐向】 ,2024-09-30 12:53
下班，然后变成魔法少女,弧盐, 林昀，36岁，妻子早逝，职业为民企中层，是一名单亲爸爸，近来觉得自己遭遇了中年危机。事业上遭遇不顺，家庭上和14岁的女儿陷入冷战，身体上患肩周炎症，每日苦不堪言。就在这几天，他还发现了一个秘密——女儿在当魔法少女。以豆蔻之身，对抗非凡的怪物，保护城市免受袭击的英雄。这是普通群众对于魔法少女的认知。但是他很清楚，成为魔法少女，是有生命危险的。要阻止她吗？还是尊重女儿的选择，用其他的方式保护她？望着衣柜中已然落灰的心之花，隐退19年的前·魔法少女林昀，陷入了人生的第三次重大抉择。 ,2025-03-09 19:50
