日期,城市,空气指标,PM25
11日,铁岭市,91,29
12日,铁岭市,42,18
13日,铁岭市,35,11
14日,铁岭市,42,19
15日,铁岭市,54,38
16日,铁岭市,57,34
17日,朝阳市,68,49
18日,朝阳市,47,9
19日,朝阳市,59,14
20日,朝阳市,74,25
09日,朝阳市,67,19
21日,朝阳市,48,32
22日,朝阳市,53,8
10日,朝阳市,73,30
11日,朝阳市,91,36
12日,朝阳市,74,14
13日,朝阳市,40,4
14日,朝阳市,48,15
15日,朝阳市,53,31
16日,朝阳市,94,46
09日,葫芦岛市,59,19
17日,葫芦岛市,76,42
18日,葫芦岛市,47,9
19日,葫芦岛市,51,30
20日,葫芦岛市,72,43
21日,葫芦岛市,69,29
22日,葫芦岛市,55,14
10日,葫芦岛市,106,51
11日,葫芦岛市,75,31
12日,葫芦岛市,57,19
13日,葫芦岛市,39,6
14日,葫芦岛市,47,12
15日,葫芦岛市,59,38
16日,葫芦岛市,82,41
09日,长春市,90,67
10日,长春市,93,62
11日,长春市,99,59
12日,长春市,59,24
13日,长春市,35,12
14日,长春市,37,19
15日,长春市,48,17
16日,长春市,53,17
17日,长春市,73,43
18日,长春市,45,22
19日,长春市,55,17
20日,长春市,81,38
21日,长春市,53,37
22日,长春市,48,12
10日,吉林市,108,81
11日,吉林市,110,54
17日,吉林市,70,39
18日,吉林市,48,31
19日,吉林市,60,20
20日,吉林市,81,49
12日,吉林市,63,20
13日,吉林市,45,7
14日,吉林市,40,18
15日,吉林市,44,19
16日,吉林市,55,25
21日,吉林市,132,100
22日,吉林市,45,17
09日,吉林市,70,51
10日,四平市,84,61
11日,四平市,99,43
12日,四平市,43,22
13日,四平市,34,7
14日,四平市,42,17
15日,四平市,50,28
16日,四平市,62,25
09日,四平市,87,64
17日,四平市,80,30
18日,四平市,45,20
19日,四平市,57,24
20日,四平市,79,36
21日,四平市,69,50
22日,四平市,49,19
17日,辽源市,90,28
18日,辽源市,55,20
19日,辽源市,72,20
09日,辽源市,65,42
10日,辽源市,95,45
11日,辽源市,104,32
12日,辽源市,72,9
13日,辽源市,37,2
14日,辽源市,57,15
15日,辽源市,59,19
16日,辽源市,69,24
20日,辽源市,90,30
21日,辽源市,57,40
22日,辽源市,57,8
10日,通化市,70,32
11日,通化市,89,32
12日,通化市,57,10
13日,通化市,39,6
09日,通化市,52,34
14日,通化市,46,11
15日,通化市,45,12
16日,通化市,55,20
17日,通化市,87,26
18日,通化市,51,18
19日,通化市,42,6
20日,通化市,54,18
21日,通化市,74,13
22日,通化市,44,10
17日,白山市,79,26
10日,白山市,67,32
11日,白山市,77,32
12日,白山市,69,20
13日,白山市,39,7
14日,白山市,44,10
15日,白山市,43,18
18日,白山市,50,19
19日,白山市,40,13
20日,白山市,55,14
21日,白山市,68,14
22日,白山市,43,9
09日,白山市,61,34
16日,白山市,57,22
09日,松原市,79,50
10日,松原市,89,66
11日,松原市,93,56
12日,松原市,48,27
13日,松原市,49,14
14日,松原市,43,10
15日,松原市,44,11
16日,松原市,47,20
17日,松原市,79,58
18日,松原市,42,21
19日,松原市,42,18
20日,松原市,55,32
21日,松原市,44,22
22日,松原市,44,8
17日,白城市,69,50
18日,白城市,46,16
19日,白城市,46,12
20日,白城市,55,22
21日,白城市,53,29
22日,白城市,47,9
10日,白城市,73,48
11日,白城市,109,82
12日,白城市,39,10
13日,白城市,42,12
14日,白城市,44,14
15日,白城市,45,16
16日,白城市,52,16
09日,白城市,60,26
09日,延边朝鲜族自治州,50,24
10日,延边朝鲜族自治州,70,28
11日,延边朝鲜族自治州,80,29
12日,延边朝鲜族自治州,63,16
13日,延边朝鲜族自治州,60,4
14日,延边朝鲜族自治州,43,5
15日,延边朝鲜族自治州,45,13
16日,延边朝鲜族自治州,53,10
17日,延边朝鲜族自治州,60,11
18日,延边朝鲜族自治州,48,20
19日,延边朝鲜族自治州,43,17
20日,延边朝鲜族自治州,57,15
21日,延边朝鲜族自治州,53,14
22日,延边朝鲜族自治州,47,9
17日,哈尔滨市,208,158
18日,哈尔滨市,48,33
19日,哈尔滨市,45,21
20日,哈尔滨市,83,61
21日,哈尔滨市,65,45
22日,哈尔滨市,46,10
09日,哈尔滨市,114,86
10日,哈尔滨市,208,158
11日,哈尔滨市,238,188
12日,哈尔滨市,65,47
13日,哈尔滨市,55,23
14日,哈尔滨市,46,14
15日,哈尔滨市,48,12
16日,哈尔滨市,53,33
17日,齐齐哈尔市,45,23
18日,齐齐哈尔市,39,12
19日,齐齐哈尔市,43,15
20日,齐齐哈尔市,64,46
21日,齐齐哈尔市,99,74
22日,齐齐哈尔市,48,7
09日,齐齐哈尔市,70,51
10日,齐齐哈尔市,134,102
11日,齐齐哈尔市,65,33
12日,齐齐哈尔市,36,6
13日,齐齐哈尔市,40,7
14日,齐齐哈尔市,48,13
15日,齐齐哈尔市,45,11
16日,齐齐哈尔市,48,17
17日,鸡西市,54,36
18日,鸡西市,48,33
19日,鸡西市,47,22
20日,鸡西市,67,48
21日,鸡西市,88,65
22日,鸡西市,39,16
09日,鸡西市,70,43
10日,鸡西市,79,48
11日,鸡西市,155,118
12日,鸡西市,83,61
13日,鸡西市,52,17
14日,鸡西市,41,12
15日,鸡西市,36,13
16日,鸡西市,53,19
09日,鹤岗市,56,30
17日,鹤岗市,71,42
18日,鹤岗市,50,35
19日,鹤岗市,35,22
20日,鹤岗市,37,16
21日,鹤岗市,49,30
22日,鹤岗市,44,28
10日,鹤岗市,66,41
11日,鹤岗市,42,21
12日,鹤岗市,63,45
13日,鹤岗市,48,22
14日,鹤岗市,43,18
15日,鹤岗市,44,14
16日,鹤岗市,44,14
17日,双鸭山市,88,65
18日,双鸭山市,69,50
19日,双鸭山市,49,17
20日,双鸭山市,39,20
21日,双鸭山市,70,41
22日,双鸭山市,42,24
09日,双鸭山市,80,44
10日,双鸭山市,114,86
11日,双鸭山市,135,103
12日,双鸭山市,73,42
13日,双鸭山市,65,47
14日,双鸭山市,48,22
15日,双鸭山市,48,24
16日,双鸭山市,46,19
17日,大庆市,60,37
18日,大庆市,42,22
19日,大庆市,42,19
20日,大庆市,59,30
21日,大庆市,45,25
22日,大庆市,45,10
09日,大庆市,65,44
10日,大庆市,139,106
11日,大庆市,122,92
12日,大庆市,50,26
13日,大庆市,52,17
14日,大庆市,32,18
15日,大庆市,44,13
16日,大庆市,48,14
09日,伊春市,52,27
17日,伊春市,86,26
18日,伊春市,60,43
19日,伊春市,36,16
20日,伊春市,37,12
21日,伊春市,58,29
22日,伊春市,44,15
10日,伊春市,60,34
11日,伊春市,50,25
12日,伊春市,87,64
13日,伊春市,71,18
14日,伊春市,43,12
15日,伊春市,48,10
16日,伊春市,48,11
17日,佳木斯市,124,94
18日,佳木斯市,84,62
19日,佳木斯市,47,15
20日,佳木斯市,39,18
21日,佳木斯市,72,52
22日,佳木斯市,45,24
09日,佳木斯市,65,38
10日,佳木斯市,82,60
11日,佳木斯市,124,94
12日,佳木斯市,66,45
13日,佳木斯市,54,34
14日,佳木斯市,48,14
15日,佳木斯市,41,16
16日,佳木斯市,49,20
17日,七台河市,61,37
18日,七台河市,40,27
19日,七台河市,47,16
20日,七台河市,64,46
21日,七台河市,74,54
22日,七台河市,39,27
09日,七台河市,65,47
10日,七台河市,127,96
11日,七台河市,127,96
12日,七台河市,91,60
13日,七台河市,55,15
14日,七台河市,43,13
15日,七台河市,35,17
16日,七台河市,59,31
17日,牡丹江市,67,44
18日,牡丹江市,50,35
19日,牡丹江市,48,18
20日,牡丹江市,62,34
21日,牡丹江市,68,49
22日,牡丹江市,40,20
09日,牡丹江市,56,32
10日,牡丹江市,70,37
11日,牡丹江市,75,55
12日,牡丹江市,68,41
13日,牡丹江市,67,17
14日,牡丹江市,44,15
15日,牡丹江市,40,18
16日,牡丹江市,52,19
09日,黑河市,44,21
10日,黑河市,41,16
11日,黑河市,36,16
12日,黑河市,34,14
13日,黑河市,36,12
14日,黑河市,43,13
15日,黑河市,42,13
16日,黑河市,43,16
17日,黑河市,46,18
18日,黑河市,48,33
19日,黑河市,36,20
20日,黑河市,40,18
21日,黑河市,37,16
22日,黑河市,48,33
10日,绥化市,109,82
11日,绥化市,97,72
12日,绥化市,97,72
13日,绥化市,59,14
14日,绥化市,45,12
15日,绥化市,48,10
16日,绥化市,52,18
17日,绥化市,95,71
18日,绥化市,49,34
19日,绥化市,39,18
20日,绥化市,172,130
21日,绥化市,180,136
22日,绥化市,45,8
09日,绥化市,83,61
10日,大兴安岭地区,46,12
11日,大兴安岭地区,39,8
12日,大兴安岭地区,40,10
13日,大兴安岭地区,41,10
14日,大兴安岭地区,48,12
15日,大兴安岭地区,47,10
16日,大兴安岭地区,47,12
17日,大兴安岭地区,42,15
18日,大兴安岭地区,40,12
19日,大兴安岭地区,41,10
20日,大兴安岭地区,45,13
21日,大兴安岭地区,47,14
22日,大兴安岭地区,44,10
09日,大兴安岭地区,46,14
17日,上海市,80,34
18日,上海市,100,34
19日,上海市,75,30
20日,上海市,78,35
10日,上海市,84,59
11日,上海市,68,45
12日,上海市,92,33
13日,上海市,91,26
14日,上海市,75,25
15日,上海市,89,23
16日,上海市,118,29
21日,上海市,59,27
22日,上海市,60,43
09日,上海市,127,55
09日,南京市,97,50
10日,南京市,97,43
11日,南京市,85,46
12日,南京市,170,63
13日,南京市,95,30
14日,南京市,71,25
15日,南京市,80,21
17日,南京市,90,31
18日,南京市,113,36
19日,南京市,108,50
20日,南京市,97,26
21日,南京市,53,34
22日,南京市,70,38
16日,南京市,79,23
09日,无锡市,132,51
10日,无锡市,125,64
11日,无锡市,90,44
12日,无锡市,142,47
13日,无锡市,95,27
14日,无锡市,76,25
17日,无锡市,77,25
18日,无锡市,133,35
19日,无锡市,121,44
20日,无锡市,91,27
21日,无锡市,53,36
22日,无锡市,68,33
15日,无锡市,94,20
16日,无锡市,102,22
09日,徐州市,90,54
17日,徐州市,90,45
18日,徐州市,100,60
19日,徐州市,84,47
20日,徐州市,91,37
21日,徐州市,43,29
22日,徐州市,83,46
10日,徐州市,103,56
11日,徐州市,64,38
12日,徐州市,167,52
13日,徐州市,87,28
14日,徐州市,67,21
15日,徐州市,85,24
16日,徐州市,94,30
17日,常州市,89,32
18日,常州市,144,39
09日,常州市,130,57
10日,常州市,116,76
11日,常州市,93,50
12日,常州市,131,54
13日,常州市,92,28
14日,常州市,74,24
15日,常州市,89,23
16日,常州市,97,29
19日,常州市,129,48
20日,常州市,85,28
21日,常州市,74,37
22日,常州市,74,35
10日,苏州市,111,62
11日,苏州市,104,45
12日,苏州市,120,40
13日,苏州市,89,28
09日,苏州市,126,53
17日,苏州市,67,31
18日,苏州市,120,37
19日,苏州市,111,48
20日,苏州市,86,28
21日,苏州市,55,39
22日,苏州市,60,34
14日,苏州市,80,30
15日,苏州市,85,23
16日,苏州市,98,28
09日,南通市,109,72
10日,南通市,93,44
